Date,Open,High,Low,Close,Open_Close,high_low
2005-07-31,13.0,14.0,11.25,12.46,-0.5399999999999991,2.75
2005-08-31,12.58,14.88,12.55,13.42,0.8399999999999999,2.33
2005-09-30,13.48,14.87,12.27,13.3,-0.17999999999999972,2.5999999999999996
2005-10-31,13.2,14.47,12.4,12.99,-0.20999999999999908,2.0700000000000003
2005-11-30,13.35,13.88,12.88,13.41,0.0600000000000005,1.0
2005-12-31,13.49,14.44,13.0,13.71,0.22000000000000064,1.4399999999999995
2006-01-31,13.68,17.16,13.58,15.33,1.6500000000000004,3.58
2006-02-28,15.5,16.97,15.4,16.12,0.620000000000001,1.5699999999999985
2006-03-31,16.2,20.95,16.02,20.08,3.879999999999999,4.93
2006-04-30,20.56,20.8,18.02,19.49,-1.0700000000000003,2.780000000000001
2006-05-31,19.8,21.8,15.8,18.03,-1.7699999999999996,6.0
2006-06-30,18.2,18.4,13.4,15.62,-2.58,4.999999999999998
2006-07-31,16.0,17.2,13.82,16.16,0.16000000000000014,3.379999999999999
2006-08-31,15.9,18.6,15.7,17.84,1.9399999999999995,2.900000000000002
2006-09-30,18.0,18.88,16.8,18.46,0.46000000000000085,2.0799999999999983
2006-10-31,18.78,24.2,18.5,22.78,4.0,5.699999999999999
2006-11-30,22.8,28.47,21.4,25.32,2.5199999999999996,7.07
2006-12-31,25.4,29.66,24.4,26.97,1.5700000000000003,5.260000000000002
2007-01-31,27.4,34.16,27.0,30.16,2.7600000000000016,7.159999999999997
2007-02-28,30.2,32.6,26.8,28.63,-1.5700000000000003,5.800000000000001
2007-03-31,29.3,31.58,23.31,28.14,-1.1600000000000001,8.27
2007-04-30,27.0,31.99,26.2,30.31,3.3099999999999987,5.789999999999999
2007-05-31,30.66,36.14,29.11,33.51,2.849999999999998,7.030000000000001
2007-06-30,33.89,36.38,30.4,35.98,2.0899999999999963,5.980000000000004
2007-07-31,35.98,41.04,35.02,37.93,1.9500000000000028,6.019999999999996
2007-08-31,37.5,39.0,30.2,36.99,-0.509999999999998,8.8
2007-09-30,37.4,41.75,35.3,41.36,3.960000000000001,6.450000000000003
2007-10-31,41.8,47.3,33.6,43.48,1.6799999999999997,13.699999999999996
2007-11-30,44.4,50.98,40.02,46.18,1.7800000000000011,10.959999999999994
2007-12-31,46.4,54.0,45.0,49.81,3.4100000000000037,9.0
2008-01-31,49.99,55.56,30.24,50.54,0.5499999999999972,25.320000000000004
2008-02-29,50.88,53.97,44.4,49.42,-1.4600000000000009,9.57
2008-03-31,48.9,48.9,24.11,33.75,-15.149999999999999,24.79
2008-04-30,33.9,35.8,28.51,34.06,0.1600000000000037,7.289999999999996
2008-05-31,34.3,36.88,30.03,31.13,-3.169999999999998,6.850000000000001
2008-06-30,31.22,32.22,22.62,22.85,-8.369999999999997,9.599999999999998
2008-07-31,22.85,30.5,20.4,25.45,2.599999999999998,10.100000000000001
2008-08-31,25.0,28.98,24.62,26.83,1.8299999999999983,4.359999999999999
2008-09-30,26.68,29.8,21.7,24.13,-2.5500000000000007,8.100000000000001
2008-10-31,24.6,25.0,11.01,13.58,-11.020000000000001,13.99
2008-11-30,14.79,17.8,11.25,12.26,-2.5299999999999994,6.550000000000001
2008-12-31,12.4,16.56,11.13,15.03,2.629999999999999,5.429999999999998
2009-01-31,15.28,18.34,11.48,12.24,-3.039999999999999,6.859999999999999
2009-02-28,12.19,12.5,9.9,10.26,-1.9299999999999997,2.5999999999999996
2009-03-31,10.0,11.24,8.16,9.98,-0.019999999999999574,3.08
2009-04-30,10.04,17.51,9.94,15.45,5.41,7.570000000000002
2009-05-31,15.94,28.84,14.76,25.12,9.180000000000001,14.08
2009-06-30,25.6,31.08,23.0,29.68,4.079999999999998,8.079999999999998
2009-07-31,29.7,33.16,24.83,31.93,2.2300000000000004,8.329999999999998
